DOMAIN	TOTAL	Acas	Afum	Agos	Aloc	Amac	Amoe	Bden	Ccin	Cint	Cmer	CneoA	Cowc	Crei	Crev	Ddis	Dmel	Ebie	Ecun	Eint	Gpro	Hmag	Hpol	Mbre	Mcir	Mver	Ncer	Ncra	NparERTm1	Pbla	PirE2	Pult	Rall	Rory	Scer	Spom	Spun	Sros	Sros50818	Sscl	Tgon	Tpse	Ttra	Umay	Vcul	Wseb	Ylip
Cytochrom_B561	84	4	2	0	0	0	4	4	3	2	1	1	0	7	0	3	7	0	0	0	4	5	6	4	1	4	0	3	0	2	0	3	1	1	0	0	0	0	2	2	0	3	1	2	0	1	1
Ribosomal_S5_C	84	1	2	2	0	2	4	2	2	1	3	2	1	3	1	1	2	1	1	1	2	2	2	2	2	3	1	2	1	5	0	2	2	6	2	2	1	2	0	2	2	2	0	2	1	2	2
AP2	84	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	6	0	0	0	0	0
Phos_pyr_kin	84	3	2	4	0	1	2	0	2	3	2	3	1	3	0	1	2	0	0	0	2	0	1	3	0	4	0	3	0	3	0	3	1	2	7	6	1	0	2	2	0	3	2	4	1	2	3
SRF-TF	83	2	2	2	0	1	7	1	1	1	1	2	2	1	0	4	2	0	1	1	1	2	1	3	0	4	1	2	1	7	0	1	2	9	4	3	0	1	0	3	0	0	0	2	1	2	2
UPF0016	83	0	2	2	0	0	4	2	2	4	6	2	0	8	2	0	2	0	0	0	2	2	2	2	2	2	0	2	0	2	0	2	1	2	2	4	0	2	2	2	4	4	0	2	0	2	2
Exostosin	83	4	0	0	0	0	0	0	0	5	0	1	0	47	0	0	3	0	0	0	3	3	0	6	0	1	0	0	0	1	0	1	2	1	0	0	0	0	0	0	1	4	0	0	0	0	0
DUF1759	83	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0
Peptidase_C12	83	2	4	2	0	0	1	3	4	2	2	2	1	2	1	2	4	0	0	0	3	3	3	2	0	3	0	3	0	6	0	2	4	4	1	2	0	0	0	5	2	3	1	1	0	1	2
FUSC_2	83	2	3	2	0	0	1	1	2	0	2	3	0	4	2	10	0	0	0	0	2	0	0	0	0	2	0	2	0	7	0	0	2	10	2	2	2	0	0	4	1	2	0	4	0	3	6
Calpain_III	83	16	1	0	0	0	0	1	2	5	0	0	2	3	2	6	3	0	0	0	3	3	1	2	0	2	0	1	0	3	0	6	0	1	0	0	2	0	0	1	1	2	12	1	0	0	1
Ribosomal_L24e	83	2	2	2	0	0	5	2	2	1	2	2	1	2	1	2	2	1	2	2	2	1	1	2	0	4	1	2	2	4	1	2	3	4	3	3	0	0	1	1	2	2	1	2	2	2	2
DNA_methylase	83	6	3	0	0	0	0	4	4	4	1	0	0	16	2	1	1	0	0	0	2	2	1	1	1	3	1	3	0	4	0	1	2	1	0	1	4	0	0	6	3	5	0	0	0	0	0
eRF1_3	83	2	2	2	2	0	4	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	0	2	0	4	2	2	2	4	0	2	2	3	3	2	0	1	0	2	2	2	1	2	2	2	2
DUF663	83	1	2	2	1	0	6	2	2	1	3	2	0	2	1	2	2	2	2	2	2	4	2	2	0	2	1	2	2	1	0	3	2	3	2	2	0	1	1	2	2	3	1	2	2	2	2
SapB_1	83	14	0	0	0	0	0	0	0	7	0	0	2	3	0	28	6	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Carb_anhydrase	83	3	0	0	0	0	0	1	0	8	2	0	1	3	0	0	15	0	0	0	5	29	0	0	0	4	0	2	0	0	0	4	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0
Cys_rich_FGFR	83	0	0	0	0	0	0	0	0	14	0	0	0	40	0	0	12	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gti1_Pac2	83	0	2	1	1	1	2	2	8	0	0	2	3	0	1	0	0	0	2	2	2	0	1	0	0	8	2	1	1	5	0	0	1	13	2	2	2	0	0	2	0	0	0	3	5	2	4
Peptidase_M13	83	4	1	0	0	0	0	0	1	6	1	1	0	0	0	0	23	0	0	0	3	12	1	0	0	8	0	0	0	3	0	6	0	4	0	0	1	1	0	1	3	1	0	1	0	1	0
PhoD	82	8	5	0	0	1	2	0	1	0	2	1	0	6	1	2	1	0	0	0	3	3	0	5	0	4	0	7	0	1	0	12	0	0	1	0	0	0	0	2	2	5	0	3	0	2	2
MaoC_dehydratas	82	4	3	2	0	0	2	2	3	1	0	2	2	3	1	3	2	0	0	0	7	1	3	2	0	4	0	3	0	4	1	3	1	3	2	1	0	1	0	3	1	3	0	5	0	2	2
Ribosomal_S12	82	2	2	2	0	2	4	2	2	2	3	2	0	2	1	2	2	1	1	1	2	2	2	1	1	3	1	3	1	4	0	1	2	6	3	3	0	1	0	2	3	1	0	2	1	2	2
PTPA	82	2	2	2	0	0	6	2	3	1	1	2	2	2	1	2	3	12	1	1	2	1	3	1	1	2	1	2	1	2	0	1	2	2	2	2	0	1	0	2	1	1	0	2	1	2	2
DUF914	82	8	2	1	0	0	0	0	2	4	2	1	2	2	1	8	0	0	0	0	2	1	0	2	2	4	0	2	0	6	1	7	1	4	2	2	0	0	1	2	1	6	0	0	0	1	2
VWD	82	0	0	0	0	0	10	1	0	30	0	0	0	0	0	0	9	0	0	0	0	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
R3H	82	6	2	2	0	0	0	0	3	4	0	2	0	3	1	2	6	0	0	0	1	6	0	2	1	5	0	3	0	4	0	5	1	3	2	3	1	0	1	3	1	0	1	4	0	2	2
Tropomyosin_1	82	0	1	1	0	1	4	2	7	5	0	1	0	1	1	0	3	0	0	0	3	4	1	2	3	5	0	1	0	7	0	0	0	14	3	2	2	0	0	1	1	0	3	1	0	1	1
HR1	82	0	3	2	0	0	8	3	1	6	0	2	0	0	2	0	5	0	1	1	5	2	4	1	0	5	0	3	0	1	0	0	3	4	2	5	1	0	0	3	0	0	0	3	0	3	3
BBE	82	2	14	0	0	0	0	0	18	0	0	0	2	0	0	8	0	0	0	0	4	0	0	0	0	6	0	10	0	1	0	0	0	0	0	0	0	0	1	10	0	0	1	3	0	2	0
HD	82	4	2	1	1	1	6	2	2	3	2	1	0	2	3	3	3	0	1	1	4	0	1	2	3	4	0	1	0	2	0	5	2	2	4	1	0	0	0	2	2	5	1	0	0	2	1
Ribosomal_L16	82	0	2	2	1	0	7	2	2	1	3	2	0	2	1	2	2	1	1	1	2	3	1	1	0	4	1	2	1	4	2	2	1	7	2	3	0	1	0	2	2	1	1	2	1	2	2
Rtf2	82	3	3	1	0	1	2	2	2	3	0	1	1	3	1	4	6	0	1	0	3	4	2	3	1	3	0	2	1	2	0	3	1	3	1	3	1	0	0	2	2	4	0	2	0	3	2
PI-PLC-X	82	1	4	2	0	0	2	1	4	7	0	2	4	1	0	2	5	0	0	0	3	9	1	6	0	1	0	5	0	0	0	0	0	1	1	1	0	0	1	5	2	3	1	3	0	2	2
UNC-93	82	4	5	0	0	0	2	0	1	10	0	5	1	0	1	5	4	0	0	0	1	5	0	2	0	9	0	3	0	4	0	1	0	5	0	2	0	0	0	4	0	0	0	3	0	4	1
RPN7	81	1	3	1	1	2	4	2	2	3	2	2	1	2	0	3	3	1	1	1	2	5	2	2	0	2	1	2	1	2	1	2	2	3	1	2	1	2	0	3	1	2	0	2	1	2	2
tRNA-synt_1c_C	81	2	2	2	1	2	4	2	2	2	2	2	0	2	0	2	2	2	2	2	2	3	3	1	0	2	2	2	1	2	0	2	2	3	2	2	0	1	0	2	2	3	1	2	2	2	2
Mem_trans	81	2	3	3	0	0	0	0	3	1	2	4	0	8	0	0	1	0	0	0	6	1	0	7	1	7	0	2	0	2	0	0	0	3	4	1	0	1	3	3	0	6	1	1	0	1	4
PWI	81	3	3	0	0	0	0	2	3	3	0	3	0	2	2	6	3	0	0	0	2	8	2	2	1	2	0	3	0	2	0	3	3	2	0	2	2	0	1	3	2	4	0	3	0	1	3
NAD_Gly3P_dh_C	81	3	2	1	0	1	2	2	1	1	2	2	1	5	1	0	3	13	1	1	2	1	1	1	0	2	2	1	1	3	0	2	1	5	2	2	0	1	0	1	2	3	1	1	1	2	1
Ribosomal_S8	81	1	2	3	1	0	3	2	2	1	2	2	0	0	0	2	2	9	1	1	2	3	2	1	1	3	1	2	1	3	0	1	1	5	3	3	0	2	0	2	2	1	0	2	1	2	3
Ribosomal_L2_C	81	1	3	2	0	1	5	2	2	4	3	3	0	1	0	2	2	2	1	1	2	3	2	1	1	3	0	2	1	4	0	1	2	5	3	4	0	0	0	2	2	1	0	2	1	2	2
Anoctamin	81	0	2	2	0	1	3	1	1	4	0	1	0	0	0	2	5	0	0	0	3	18	1	3	0	4	0	1	0	1	1	15	1	1	1	1	2	0	0	1	0	2	0	1	0	1	1
Ribosomal_L23	81	2	2	2	1	0	3	2	2	2	3	2	1	2	0	2	2	1	2	2	2	2	2	2	0	3	1	2	1	3	0	2	2	5	2	3	1	1	1	2	2	2	0	2	1	2	2
DSHCT	81	2	2	2	0	0	4	2	2	2	3	2	1	4	0	2	2	1	2	2	2	2	2	2	0	3	2	2	2	2	0	2	2	2	2	3	0	0	0	2	2	3	0	2	2	2	3
BolA	81	3	2	3	0	1	0	2	3	0	4	3	0	5	0	4	2	0	0	0	3	1	1	2	0	3	0	3	1	4	0	3	1	3	3	3	1	0	0	3	2	3	0	3	0	3	3
eRF1_1	81	2	2	2	2	0	4	2	2	3	2	2	0	2	0	2	2	2	2	2	3	2	0	2	0	4	2	2	2	3	0	2	2	2	2	2	0	1	0	2	2	2	1	2	2	2	2
PGM_PMM_III	81	3	3	2	0	1	5	2	2	2	3	1	2	3	0	3	3	0	1	1	3	3	1	2	1	2	0	1	0	2	1	2	2	3	3	3	1	0	1	1	2	4	0	2	0	2	2
RLI	80	2	2	2	1	0	4	3	2	1	2	2	0	2	1	2	2	10	2	2	1	2	2	1	1	2	2	2	1	2	0	2	2	2	2	2	1	1	0	1	2	1	0	2	1	1	2
RimK	80	2	3	3	0	0	1	2	2	2	4	1	0	2	1	2	0	0	0	0	0	9	3	2	1	2	0	3	0	5	0	2	1	5	3	3	0	1	1	3	0	2	1	3	0	3	2
tRNA_bind	80	3	1	2	1	0	2	3	1	1	3	1	1	7	0	4	2	2	1	1	3	4	3	2	0	3	1	1	1	2	1	4	2	1	1	1	0	1	0	1	3	4	0	1	1	1	2
CwfJ_C_1	80	2	2	1	1	0	1	2	4	3	0	3	2	2	1	2	2	3	1	1	2	2	2	2	0	3	1	3	0	3	1	2	3	3	1	2	0	0	1	2	2	2	1	4	1	2	2
ApbA	80	4	7	3	1	0	0	3	3	0	2	3	1	5	0	2	0	0	0	0	7	0	1	1	0	2	0	5	0	3	0	0	0	3	2	3	0	1	0	5	1	1	0	3	0	5	3
zf-CHY	80	5	1	1	1	1	2	2	1	1	1	0	0	2	1	2	1	1	2	2	3	2	1	3	1	4	0	3	1	4	2	4	2	2	1	4	0	1	0	2	2	3	1	1	2	1	3
zf-C2H2_2	80	3	1	2	0	1	2	2	1	2	4	2	1	1	0	4	5	0	0	0	3	4	2	1	0	4	0	2	1	4	1	1	4	8	2	3	0	0	1	1	1	1	0	1	1	1	2
CBM49	80	19	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHMP_kinases_C	80	1	4	1	0	0	3	3	2	3	1	2	2	4	0	3	2	0	1	1	2	2	2	3	0	3	0	4	0	4	0	4	2	2	2	2	0	0	0	3	2	4	1	1	0	3	1
Prenyltrans_1	80	4	7	3	0	0	4	1	2	1	3	1	2	3	1	4	2	0	1	0	3	1	2	4	0	5	0	3	0	3	0	2	0	2	2	1	1	0	0	2	0	4	0	2	0	3	1
SUR7	80	0	6	5	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	8	0	6	0	0	0	3	10	4	0	3	0	7	0	0	0	4	0	3	3
Alpha_adaptinC2	80	2	3	2	0	0	0	4	2	2	1	2	0	2	0	5	4	0	0	0	2	4	2	4	0	3	0	3	0	3	0	1	3	3	4	4	1	0	0	3	2	3	0	2	0	1	3
RNA_pol_A_bac	80	2	2	2	2	0	4	2	2	2	3	2	1	2	0	2	2	2	2	2	2	3	0	2	0	2	2	2	2	1	1	2	2	3	2	2	0	0	0	2	3	2	1	2	2	2	2
SM-ATX	80	3	2	3	0	1	7	3	1	1	5	0	0	2	1	3	2	0	0	0	2	3	2	2	1	5	0	2	2	3	0	2	2	4	2	2	0	1	0	0	3	2	0	3	0	1	2
Glyco_hydro_61	80	0	7	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	10	0
Pirin	80	3	2	0	0	0	2	1	3	1	1	2	0	2	1	8	0	0	0	0	8	1	1	2	1	11	0	1	0	1	0	8	1	2	0	0	0	1	1	2	0	4	1	2	0	1	5
TYA	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
Methyltransf_15	79	1	1	3	0	4	2	3	4	2	1	2	0	2	0	1	2	0	0	0	2	3	2	2	0	2	2	1	1	5	0	2	2	4	3	1	0	3	0	2	2	3	1	3	1	2	2
Ribosomal_S9	79	2	2	2	0	0	4	2	2	2	3	2	0	2	0	2	2	1	1	1	1	1	2	2	0	3	1	2	1	4	0	2	2	6	3	3	1	1	0	2	3	2	0	2	1	2	2
IMS_C	79	1	4	2	0	0	4	1	3	0	2	3	1	4	1	1	3	0	0	0	3	3	0	2	0	2	1	4	0	3	1	3	2	1	2	3	0	0	0	4	2	2	1	4	0	4	2
SWIB	79	1	2	1	0	1	6	1	2	3	3	2	0	3	0	2	2	1	1	1	3	1	3	2	1	2	1	2	1	2	0	4	2	6	3	2	0	0	1	2	2	2	0	2	1	1	1
NAC	79	2	2	2	0	0	3	2	2	3	2	2	1	2	0	2	9	0	0	0	3	3	2	2	0	3	1	2	0	4	0	2	2	4	3	2	0	0	0	2	2	2	0	2	0	2	2
RMMBL	79	2	1	1	1	1	4	3	1	3	2	1	1	3	1	3	3	2	2	2	2	2	2	4	0	3	2	2	2	2	0	1	1	3	1	2	1	0	2	1	2	1	1	1	2	1	1
Ribosomal_S7	79	1	2	2	4	1	2	2	2	2	3	2	2	2	1	2	3	1	1	1	2	5	2	2	0	2	1	2	1	3	0	1	1	5	2	3	0	0	0	2	1	1	0	2	1	2	2
Ribosomal_S10	79	1	2	2	3	0	3	2	2	2	3	2	0	4	1	2	3	2	1	1	2	2	2	2	0	2	1	2	1	3	0	1	2	6	2	2	0	1	0	2	2	1	0	2	1	2	2
E1_DerP2_DerF2	79	2	1	1	0	2	4	1	1	3	0	1	0	2	0	9	9	0	0	0	1	7	1	0	0	13	0	1	0	4	0	1	2	4	1	1	0	0	0	1	1	0	0	1	0	2	2
HEAT	79	3	3	1	0	0	9	1	2	0	0	1	0	3	0	0	4	0	0	0	4	2	2	2	1	5	0	3	0	3	0	3	2	6	0	4	2	1	0	2	3	5	0	1	0	0	1
Piwi	79	2	2	0	0	0	4	2	10	4	0	1	0	3	0	5	5	0	0	0	6	4	1	0	1	9	1	2	0	2	0	2	2	2	0	1	2	1	0	2	1	1	0	0	1	0	0
Arch_ATPase	79	2	2	2	0	0	7	4	8	1	0	0	2	0	1	6	1	6	0	0	0	11	2	1	0	3	0	0	0	3	0	1	4	3	2	1	0	0	0	1	0	0	0	0	1	1	3
GSHPx	78	1	1	1	1	0	2	1	1	3	0	2	0	4	0	0	2	1	1	1	4	6	2	4	0	1	2	1	1	2	0	12	1	3	3	1	0	1	1	1	2	4	0	1	1	1	1
Coiled	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioesterase	78	5	4	1	0	0	1	2	3	2	2	1	1	3	0	1	3	0	0	0	2	1	1	2	1	7	0	3	0	2	0	4	1	1	0	1	3	1	1	7	0	2	0	5	0	2	2
Formyl_trans_N	78	1	3	2	0	1	2	2	3	2	2	4	0	4	2	2	3	0	0	0	3	3	0	2	0	2	0	3	0	2	1	2	0	2	2	2	1	1	1	3	1	3	1	5	0	3	2
Esterase	78	3	2	1	0	0	2	2	1	5	2	1	0	7	0	1	1	0	0	0	3	2	1	4	0	1	0	4	0	2	6	2	1	3	1	3	0	0	0	3	1	5	1	2	1	3	1
Suf	78	1	1	3	0	0	1	2	3	2	2	1	1	4	0	2	2	1	1	1	4	4	2	5	0	4	0	1	0	3	0	5	3	2	1	3	0	0	0	1	1	2	1	2	1	2	3
COPIIcoated_ERV	78	3	3	2	0	0	3	2	2	3	1	2	1	3	0	2	2	0	0	0	3	2	2	2	1	2	0	3	0	3	0	6	2	3	2	2	1	1	0	2	0	6	0	2	0	2	2
RNA_pol_Rpb2_4	78	0	2	2	0	1	4	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	3	2	3	2	2	1	0	0	2	2	2	0	2	2	2	2
Sas10_Utp3	78	1	3	3	0	0	2	2	2	2	1	3	1	1	1	1	3	0	0	0	2	3	2	2	1	3	0	3	0	2	1	3	1	3	3	3	1	0	1	3	2	2	2	3	0	3	3
Galactosyl_T	78	0	0	0	0	0	0	1	0	19	1	0	0	2	0	0	10	0	0	0	1	27	1	1	1	3	0	0	0	1	0	2	0	3	0	0	0	0	1	0	0	1	0	1	0	2	0
Methyltransf_32	78	4	1	1	0	0	2	2	1	3	2	2	0	2	1	2	6	0	0	1	2	3	1	4	0	2	0	2	1	3	0	2	2	4	1	2	1	0	0	1	1	12	2	0	0	2	0
PEP_mutase	78	2	8	3	0	0	2	2	4	0	1	2	0	3	0	2	0	0	0	0	3	3	2	2	0	3	0	4	0	2	0	5	1	2	2	1	2	0	0	4	1	3	0	4	0	2	3
Glyco_hydro_15	78	4	5	1	0	2	4	2	4	2	0	2	0	0	1	2	2	0	0	0	2	6	2	1	0	4	0	2	0	5	0	3	1	9	1	2	1	1	0	4	0	0	0	1	0	1	1
Na_sulph_symp	78	6	1	2	0	3	6	1	1	4	0	1	3	10	0	0	7	1	0	0	1	2	1	2	0	2	0	1	0	4	0	1	1	6	2	1	0	1	0	1	2	1	0	1	0	1	1
PRK	78	2	2	2	1	0	2	0	1	3	2	4	0	4	0	4	2	4	0	1	0	1	1	1	3	2	0	2	0	3	1	1	2	5	3	3	0	1	0	2	0	2	1	2	1	3	4
SapB_2	78	12	0	0	0	0	0	0	0	7	0	0	2	2	0	24	7	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0
Tropomyosin	78	1	2	0	0	0	7	0	3	10	0	3	0	3	1	0	4	0	0	0	6	6	2	1	2	5	0	1	0	3	0	0	0	6	1	1	2	0	0	1	0	1	0	3	0	2	1
DEK_C	78	0	3	1	0	1	4	4	2	2	1	2	0	4	3	0	3	0	0	0	2	1	2	3	1	3	0	3	0	3	0	3	3	6	2	1	2	1	0	2	0	3	0	3	0	2	2
RTA1	77	0	21	0	0	0	0	0	3	0	0	7	0	1	0	1	0	0	0	0	11	0	0	0	0	2	0	7	0	0	0	0	0	2	4	1	0	2	0	7	0	0	0	2	0	4	2
Neur_chan_memb	77	0	0	0	0	0	0	0	0	18	0	0	0	3	0	1	24	0	0	0	0	28	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pex2_Pex12	77	3	3	3	0	1	1	4	3	2	3	3	1	3	0	3	3	0	0	0	3	2	2	0	0	3	0	3	0	3	0	3	0	2	3	1	0	1	0	3	2	1	0	3	0	3	3
SHMT	77	2	2	2	0	0	4	2	1	2	4	1	0	3	1	2	1	2	2	2	2	6	2	2	1	2	0	2	1	2	0	2	3	2	2	2	0	0	0	2	1	3	0	1	3	1	2
RNA_pol_L_2	77	1	2	2	0	1	3	2	2	2	2	2	1	2	0	2	2	3	2	2	2	3	2	1	0	2	1	2	2	2	0	2	2	2	2	2	0	2	0	2	2	2	1	2	2	2	2
Trp_Tyr_perm	77	3	0	1	0	0	5	1	3	1	0	2	1	2	0	1	1	1	0	0	0	6	0	6	0	2	3	1	0	3	0	8	2	4	1	1	1	0	1	2	0	8	1	2	1	1	1
Ribosomal_L30	77	2	2	3	2	1	2	1	2	1	2	2	1	2	0	2	2	1	1	1	2	2	1	2	0	2	1	2	1	5	0	1	1	7	4	4	0	0	0	2	1	2	0	2	1	2	2
Ribosomal_S15	77	2	2	2	1	0	1	2	2	1	4	2	1	3	0	2	2	0	1	1	2	1	2	1	2	3	1	2	1	2	0	2	1	5	2	2	0	0	3	2	3	3	1	2	1	2	2
ATP-grasp_2	77	3	3	1	0	1	2	2	2	3	3	2	1	3	1	3	3	1	0	0	2	3	1	4	1	5	0	2	0	2	0	1	3	3	1	2	0	1	1	2	1	1	1	2	0	2	2
TIL	77	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	10	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IF-2	77	2	2	2	1	0	3	2	2	1	3	2	1	3	1	2	2	1	1	1	2	2	2	2	0	2	1	2	1	2	0	3	2	2	2	2	1	1	1	1	3	3	1	2	1	2	2
Ribosomal_L14	77	1	2	2	0	1	4	2	2	2	3	2	1	2	1	2	2	1	1	1	2	2	1	1	1	3	1	2	1	3	0	1	2	6	3	3	0	1	0	2	2	1	0	2	1	2	2
Chitin_synth_1	77	1	4	2	0	1	6	3	5	0	0	4	0	0	1	0	0	0	0	0	4	0	3	0	1	8	0	3	0	7	0	1	0	6	2	2	0	0	0	3	0	0	0	4	0	3	3
Nop14	77	2	1	1	0	0	3	1	1	0	1	2	0	9	1	5	1	0	0	0	3	14	2	2	0	1	0	3	0	2	0	2	1	1	2	1	0	0	3	1	4	2	0	1	2	1	1
Peripla_BP_6	77	12	0	0	0	2	0	0	0	4	0	0	0	2	0	1	9	0	0	0	0	28	0	0	1	6	0	0	0	3	0	0	3	3	0	0	1	0	0	0	0	0	2	0	0	0	0
O-FucT	76	0	0	0	0	0	1	0	2	6	0	1	0	5	0	0	2	0	0	0	3	3	0	3	0	17	0	1	0	7	0	0	1	7	0	0	0	0	0	4	0	12	0	0	0	1	0
EGF_2	76	5	0	0	0	0	0	0	0	9	0	0	3	3	1	23	5	0	0	0	0	3	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	2	5	0	0	0	0	0
Xan_ur_permease	76	0	2	1	0	0	0	0	2	6	0	1	0	13	0	2	1	0	0	0	4	1	0	0	2	5	0	4	0	6	0	0	0	9	0	3	0	0	0	4	0	2	0	3	0	3	2
tRNA-synt_His	76	3	2	2	2	1	2	1	2	2	1	2	1	1	1	5	1	1	1	1	1	4	2	1	0	3	1	2	1	2	0	3	4	3	2	2	0	0	0	2	1	2	1	2	2	1	2
Myotub-related	76	13	1	1	0	0	3	1	1	4	0	1	3	0	0	10	5	0	0	0	2	4	1	3	0	2	0	1	0	1	0	9	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1
FERM_N	76	4	0	0	0	0	4	0	0	14	0	0	2	1	0	5	14	0	0	0	1	15	1	8	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0
HORMA	76	4	3	3	1	0	2	2	4	0	1	3	1	3	1	3	2	0	0	0	1	2	2	3	0	4	1	2	0	2	0	2	2	1	3	3	0	1	0	2	1	3	1	2	1	2	2
Pmp3	76	4	3	3	0	0	0	0	5	0	0	4	0	4	0	3	0	0	0	0	2	0	0	0	0	4	0	4	1	5	0	6	1	4	4	2	0	0	0	5	0	0	0	4	0	5	3
Bromo_TP	76	1	3	2	1	0	1	3	3	3	2	1	1	1	2	2	3	1	2	2	2	1	2	1	0	4	2	3	2	3	0	1	2	4	1	3	0	0	0	3	0	0	0	3	2	1	2
Beach	76	5	1	1	0	0	0	2	1	3	0	1	1	3	0	7	5	0	0	0	2	8	1	5	1	2	0	1	0	2	1	8	0	2	1	1	0	0	0	1	2	5	1	1	0	0	1
Fer4_8	76	5	3	1	0	0	4	2	2	1	3	2	0	4	1	2	3	0	0	0	3	2	1	2	0	4	0	3	0	2	0	2	1	4	1	1	1	0	0	2	1	5	1	2	0	3	2
PK_C	76	1	1	1	0	0	2	3	1	1	4	1	0	12	0	1	6	0	0	1	3	1	2	1	0	3	0	2	0	3	0	3	2	5	2	1	0	1	1	1	2	5	0	1	0	1	1
Peptidase_S41	76	0	1	0	0	0	0	38	1	0	4	0	0	5	0	0	0	0	0	0	1	0	5	0	0	9	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	6	0	0	0	0	0
TP_methylase	76	2	2	2	1	1	2	1	2	1	4	2	0	4	2	1	1	1	1	1	2	3	1	3	0	3	1	2	1	3	0	3	1	3	2	2	2	0	0	2	1	3	0	2	1	2	2
RVT_3	76	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TPR_14	76	3	3	0	0	2	6	1	1	4	3	1	1	5	0	1	4	0	0	0	2	5	1	4	0	1	0	4	0	5	0	3	0	2	0	0	0	1	2	3	2	2	0	2	0	0	2
Sec10	76	3	3	3	0	0	2	3	2	1	0	3	2	1	1	2	1	0	1	1	2	3	4	3	0	4	0	2	0	2	3	2	4	4	2	2	1	0	0	2	0	2	0	2	0	1	2
3HCDH	76	1	3	0	0	0	4	2	1	8	2	2	1	2	1	1	3	0	0	0	3	5	4	4	1	2	0	4	0	2	0	3	1	2	0	0	1	1	0	1	1	4	2	2	0	1	1
Glucan_synthase	75	0	1	3	0	3	4	0	2	0	0	1	0	15	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	3	0	16	0	3	3	4	0	1	0	1	2	2	0	1	0	3	2
GCD14	75	3	4	2	1	1	6	2	2	1	1	2	0	1	1	1	1	0	0	0	3	4	1	1	0	2	0	3	2	2	0	1	1	6	2	2	0	1	0	3	2	1	0	3	2	2	2
DUF2450	75	3	3	1	0	0	2	4	3	3	1	0	1	4	1	4	4	0	0	0	2	3	2	5	0	5	0	3	0	2	0	5	1	1	0	1	1	0	1	2	1	1	2	2	0	0	1
PAZ	75	2	2	0	0	0	6	2	7	3	0	1	0	3	0	4	7	0	0	0	2	6	1	0	0	7	1	2	0	3	0	2	2	2	0	1	3	1	0	2	1	1	0	0	1	0	0
Ribonuc_red_sm	75	4	1	1	0	0	2	2	2	0	2	2	0	2	0	3	1	23	1	1	1	1	2	1	0	1	1	1	1	1	0	1	1	2	2	1	1	1	0	1	1	3	0	1	1	1	1
Pex24p	75	0	3	4	0	0	2	3	3	1	0	3	0	2	0	0	2	0	0	0	2	1	0	1	3	3	0	3	0	3	0	4	2	5	5	3	2	2	1	2	0	1	0	3	0	2	4
SCP2	75	4	1	0	0	0	6	4	1	4	0	1	2	1	0	3	4	0	0	0	2	6	2	1	1	10	0	1	0	2	0	3	3	4	0	0	0	0	0	1	3	0	0	3	0	1	1
